"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*02yl5*","D","John Stones","MCI","D","-","WHU 1<br/>@MCI 3 F","33","11","3","234","0","3","0","0","1","2","0","0","0","2","4","0","0","1","0","0","0","1","2"
"*06ezb*","D","Micky van de Ven","TOT","D","-","TOT 3<br/>@SHU 0 F","10","10","1","90","0","0","0","0","3","1","0","0","0","1","6","0","1","3","0","0","0","2","0"
"*060wh*","M","Alejandro Garnacho","MUN","M","-","MUN 2<br/>@BHA 0 F","14","7","2","132","0","1","0","1","1","1","0","0","0","1","1","2","0","1","0","0","0","1","1"
"*05oyq*","M","Said Benrahma","WHU","M","-","WHU 1<br/>@MCI 3 F","7","3.5","2","84","0","1","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","4","0"
"*04f67*","M","Philip Billing","BOU","M","-","BOU 1<br/>@CHE 2 F","65","10.83","6","517","1","8","0","2","9","7","1","0","2","4","11","2","2","11","0","0","0","11","1"
"*05gcx*","M","Josh Brownhill","BUR","M","-","NOT 2<br/>@BUR 1 F","22","7.33","3","214","1","0","0","2","2","1","0","1","0","3","5","0","0","5","0","0","0","2","1"
"*04xjr*","M","Harvey Elliott","LIV","M","-","WOL 0<br/>@LIV 2 F","15","7.5","2","165","0","2","0","0","1","2","0","0","2","1","1","1","0","0","0","0","0","1","1"
"*06fg0*","M","Gustavo Hamer","SHU","M","-","TOT 3<br/>@SHU 0 F","32.5","10.83","3","235","0","7","1","0","4","1","2","0","3","1","2","3","0","0","0","0","0","6","0"
"*068yd*","M","Joao Gomes","WOL","M","-","WOL 0<br/>@LIV 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0554i*","M","Joelinton","NEW","M","-","NEW 4<br/>@BRF 2 F","18.5","9.25","2","138","0","3","0","1","4","1","0","0","0","1","3","3","0","0","0","0","0","2","0"
"*04tzt*","M","Jefferson Lerma","CRY","M","-","AVL 0<br/>@CRY 5 F","31","6.2","5","429","0","4","0","0","2","4","1","0","1","4","6","2","0","8","0","0","0","8","1"
"*0666p*","M","Kobbie Mainoo","MUN","M","-","MUN 2<br/>@BHA 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063zi*","M","Matheus Nunes","WOL/MCI","M","-","WHU 1<br/>@MCI 3 F","18","9","2","135","0","1","1","0","1","1","0","0","1","0","4","1","1","1","0","0","0","1","1"
"*051k0*","M","John McGinn","AVL","M","-","AVL 0<br/>@CRY 5 F","5","5","1","63","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0"
"*04civ*","M","Scott McTominay","MUN","M","-","MUN 2<br/>@BHA 0 F","73","14.6","5","450","2","3","0","7","3","2","0","0","0","2","11","3","2","14","0","0","0","6","2"
"*02lnn*","M","Oliver Norwood","SHU","M","-","TOT 3<br/>@SHU 0 F","5.5","5.5","1","90","0","0","0","0","3","0","1","0","0","1","1","0","0","1","0","0","0","2","0"
"*05ue7*","M","Frank Onyeka","BRF","M","-","NEW 4<br/>@BRF 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05os9*","M","Thomas Partey","ARS","M","-","EVE 1<br/>@ARS 2 F","23","11.5","2","145","0","1","0","1","4","2","0","0","2","2","2","5","0","2","0","0","0","1","1"
"*05vyc*","M","Aaron Ramsey","AVL/BUR","M","-","NOT 2<br/>@BUR 1 F","2","1","2","80","0","0","0","0","1","4","0","0","0","0","1","1","0","0","0","0","0","2","0"
"*051k3*","M","Jacob Ramsey","AVL","M","-","AVL 0<br/>@CRY 5 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gw7*","M","Jadon Sancho","MUN","M","-","MUN 2<br/>@BHA 0 F","6","3","2","44","0","1","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","1","0"
"*067zv*","M","Kevin Schade","BRF","M","-","NEW 4<br/>@BRF 2 F","0.5","0.5","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*03dyl*","M","Jeffrey Schlupp","CRY","M","-","AVL 0<br/>@CRY 5 F","23.5","7.83","3","229","0","3","0","2","2","6","0","0","0","1","4","1","1","5","0","0","0","4","1"
"*02lp7*","M","Andros Townsend","EVE/LUT","M","-","FUL 4<br/>@LUT 2 F","9","4.5","2","3","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"*06ewz*","M","Jay Turner-Cooke","NEW","M","-","NEW 4<br/>@BRF 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rxs*","M","Harry Wilson","FUL","M","-","FUL 4<br/>@LUT 2 F","8","8","1","26","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ftl*","M","Nicolo Zaniolo","AVL","M","-","AVL 0<br/>@CRY 5 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
