"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","A2","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*04mr4*","G","Martin Dubravka","BUR","G","Act","ARS Sat 8:00AM","76.5","15.3","5","450","1","10","26","0","0","0","0","0","0","0","0","0","0","7","0","1","3","0","0","0"
"*06cmt*","G","Tom King","EVE","G","-","@SUN Mon 12:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*032f9*","G","Jordan Pickford","EVE","G","-","@SUN Mon 12:00PM","65.5","16.38","4","360","2","3","9","0","0","1","0","0","0","0","0","0","0","9","0","1","4","0","0","0"
"","Totals","","","","","","142","15.78","9","810","3","13","35","0","0","1","0","0","0","0","0","0","0","16","0","2","7","0","0","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*06zce*","M","Jhon Arias","WOL","M","-","@FUL Sat 8:00AM","12.5","6.25","2","131","0","1","0","0","4","2","0","0","0","1","2","2","0","3","0","0","0","2","0"
"*067yu*","M","Facundo Buonanotte","CHE","M","-","@TOT Sat 10:30AM","5","5","1","45","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*05gcc*","M","Kiernan Dewsbury-Hall","EVE","M","-","@SUN Mon 12:00PM","9.5","9.5","1","90","0","1","0","0","2","1","0","0","2","0","2","1","0","0","0","0","0","1","0"
"*06ymu*","M","El Hadji Malick Diouf","WHU","M","-","NEW Sun 6:00AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04xjr*","M","Harvey Elliott","AVL","M","-","@LIV Sat 1:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rxa*","M","Idrissa Gueye","EVE","M","-","@SUN Mon 12:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mnc*","M","Daichi Kamada","CRY","M","-","BRF Sat 8:00AM","17.5","8.75","2","169","0","1","1","0","5","1","0","0","0","0","1","0","0","2","0","0","0","2","0"
"*06jh3*","M","Joshua King","FUL","M","-","WOL Sat 8:00AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068yt*","M","Sasa Lukic","FUL","M","-","WOL Sat 8:00AM","6","6","1","85","0","2","0","0","0","0","1","0","0","1","1","0","0","2","0","0","0","1","0"
"*068lx*","M","Dango Ouattara","BRF","M","-","@CRY Sat 8:00AM","30.5","15.25","2","173","1","0","0","3","2","1","0","0","0","2","8","2","0","4","0","0","0","2","1"
"*04qfm*","M","Ryan Sessegnon","FUL","M","-","WOL Sat 8:00AM","5.5","5.5","1","79","0","0","0","0","1","0","0","0","0","1","4","0","1","1","0","0","0","3","0"
"*05ogb*","F","Anthony Elanga","NEW","F","-","@WHU Sun 6:00AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*070hp*","F","Randal Kolo Muani","TOT","F","-","CHE Sat 10:30AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05t6x*","F","William Osula","NEW","F","-","@WHU Sun 6:00AM","5","5","1","90","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","1"
"","Totals","","","","","","1184","13.16","90","7,552","12","91","9","39","80","51","10","0","30","63","293","53","26","157","2","2","0","99","23"

