#HEADER:GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9
morfin,3,7,6,6,6,6,7,6,5
sean,6,6,7,7,7,7,8,7,8
ben,1,4,4,3,4,5,6,5,7
matt,7,5,5,5,2,1,1,1,1
aj,8,8,8,8,8,8,5,8,6
katabe,2,3,3,4,3,4,3,2,2
rafa,10,9,10,9,10,9,9,9,9
zac,9,10,9,10,9,10,10,10,10
vu,5,2,1,1,1,2,4,4,4
tj,4,1,2,2,5,3,2,3,3
