"Player","Team","Position","From","To","# Obj","Date (PST)","Gameweek"
"Jeremy Doku","MCI","F","tj","sean","2","Fri May 3, 2024, 5:26PM","36"
"Cody Gakpo","LIV","F","tj","sean","2","Fri May 3, 2024, 5:26PM","36"
"Dejan Kulusevski","TOT","M","sean","tj","2","Fri May 3, 2024, 5:26PM","36"
"Chris Wood","NOT","F","sean","tj","2","Fri May 3, 2024, 5:26PM","36"
"Jean-Philippe Mateta","CRY","F","vu","md","3","Fri May 3, 2024, 5:26PM","36"
"Bruno Guimaraes","NEW","M","md","vu","3","Fri May 3, 2024, 5:26PM","36"
"Vitalii Mykolenko","EVE","D","mg","katabe","1","Sat Apr 20, 2024, 5:00PM","35"
"Diogo Jota","LIV","F","mg","katabe","1","Sat Apr 20, 2024, 5:00PM","35"
"Martin Odegaard","ARS","M","mg","katabe","1","Sat Apr 20, 2024, 5:00PM","35"
"Kyle Walker","MCI","D","mg","katabe","1","Sat Apr 20, 2024, 5:00PM","35"
"Dominic Solanke","BOU","F","mg","katabe","1","Sat Apr 20, 2024, 5:00PM","35"
"Nicolas Jackson","CHE","F","katabe","mg","1","Sat Apr 20, 2024, 5:00PM","35"
"Ollie Watkins","AVL","F","katabe","mg","1","Sat Apr 20, 2024, 5:00PM","35"
"Tosin Adarabioyo","FUL","D","katabe","mg","1","Sat Apr 20, 2024, 5:00PM","35"
"Pedro Porro","TOT","D","katabe","mg","1","Sat Apr 20, 2024, 5:00PM","35"
"Alex Iwobi","EVE/FUL","M","katabe","mg","1","Sat Apr 20, 2024, 5:00PM","35"
"Alex Moreno","AVL","D","tj","sean","0","Fri Feb 16, 2024, 5:00PM","25"
"Jeremy Doku","MCI","F","sean","tj","0","Fri Feb 16, 2024, 5:00PM","25"
"John McGinn","AVL","M","mg","katabe","1","Thu Feb 8, 2024, 5:00PM","24"
"Pedro Porro","TOT","D","mg","katabe","1","Thu Feb 8, 2024, 5:00PM","24"
"Cristian Romero","TOT","D","mg","katabe","1","Thu Feb 8, 2024, 5:00PM","24"
"Conor Gallagher","CHE","M","mg","katabe","1","Thu Feb 8, 2024, 5:00PM","24"
"Elijah Adebayo","LUT","F","katabe","mg","1","Thu Feb 8, 2024, 5:00PM","24"
"Joachim Andersen","CRY","D","katabe","mg","1","Thu Feb 8, 2024, 5:00PM","24"
"Enzo Fernandez","CHE","M","katabe","mg","1","Thu Feb 8, 2024, 5:00PM","24"
"Harry Maguire","MUN","D","katabe","mg","1","Thu Feb 8, 2024, 5:00PM","24"
"Micky van de Ven","TOT","D","ben","sean","0","Sat Feb 3, 2024, 5:00PM","24"
"Ben Mee","BRF","D","sean","ben","0","Sat Feb 3, 2024, 5:00PM","24"
"Ollie Watkins","AVL","F","mg","katabe","1","Sun Nov 12, 2023, 5:00PM","13"
"Martin Odegaard","ARS","M","katabe","mg","1","Sun Nov 12, 2023, 5:00PM","13"
"Vladimir Coufal","WHU","D","mg","sean","1","Thu Nov 2, 2023, 5:00PM","11"
"Conor Gallagher","CHE","M","sean","mg","1","Thu Nov 2, 2023, 5:00PM","11"
"Odsonne Edouard","CRY","F","tj","mg","0","Fri Oct 20, 2023, 5:00PM","9"
"Dominic Solanke","BOU","F","tj","mg","0","Fri Oct 20, 2023, 5:00PM","9"
"Vitalii Mykolenko","EVE","D","tj","mg","0","Fri Oct 20, 2023, 5:00PM","9"
"Luke Shaw","MUN","D","mg","tj","0","Fri Oct 20, 2023, 5:00PM","9"
"Ethan Pinnock","BRF","D","mg","tj","0","Fri Oct 20, 2023, 5:00PM","9"
"Taiwo Awoniyi","NOT","F","tj","sean","0","Thu Aug 17, 2023, 5:00PM","2"
"Harry Wilson","FUL","M","sean","tj","0","Thu Aug 17, 2023, 5:00PM","2"
"Alisson","LIV","G","katabe","sean","0","Wed Aug 9, 2023, 5:00PM","1"
"Jason Steele","BHA","G","sean","katabe","0","Wed Aug 9, 2023, 5:00PM","1"
