"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Nick Pope","NEW","G","tj","Reserve","Active","Sat May 11, 2024, 12:08AM","37"
"Ederson","MCI","G","tj","Active","Reserve","Sat May 11, 2024, 12:08AM","37"
"Joel Veltman","BHA","D","tj","Reserve","Active","Sat May 11, 2024, 12:05AM","37"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Sat May 11, 2024, 12:05AM","37"
"Danny Welbeck","BHA","F","mg","Active","Reserve","Fri May 10, 2024, 9:58PM","37"
"Tyrone Mings","AVL","D","mg","Reserve","Active","Fri May 10, 2024, 9:58PM","37"
"Julio Enciso","BHA","F","vu","Active","Reserve","Fri May 10, 2024, 7:05AM","37"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Active","Fri May 10, 2024, 7:05AM","37"
"Joelinton","NEW","M","mg","Active","Reserve","Wed May 8, 2024, 12:18PM","37"
"Tyrone Mings","AVL","D","mg","Reserve","Active","Wed May 8, 2024, 12:18PM","37"
"Marc Cucurella","CHE","D","vu","Reserve","Active","Tue May 7, 2024, 7:20PM","37"
"Malo Gusto","CHE","D","vu","Active","Reserve","Tue May 7, 2024, 7:20PM","37"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Tue May 7, 2024, 4:27PM","37"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Tue May 7, 2024, 4:27PM","37"
"Luis Diaz","LIV","F","rafa","Active","Reserve","Tue May 7, 2024, 12:27PM","37"
"Simon Adingra","BHA","F","rafa","Reserve","Active","Tue May 7, 2024, 12:27PM","37"
"Ben White","ARS","D","vu","Active","Reserve","Tue May 7, 2024, 8:18AM","37"
"Rhys Williams","LIV","D","vu","Reserve","Active","Tue May 7, 2024, 8:18AM","37"
"Trevoh Chalobah","CHE","D","mg","Reserve","Active","Tue May 7, 2024, 8:09AM","37"
"Emerson Royal","TOT","D","mg","Active","Reserve","Tue May 7, 2024, 8:09AM","37"
"Joelinton","NEW","M","mg","Reserve","Active","Tue May 7, 2024, 8:06AM","37"
"Ashley Young","EVE","D","mg","Active","Reserve","Tue May 7, 2024, 8:06AM","37"
"Joelinton","NEW","M","mg","Active","Reserve","Tue May 7, 2024, 8:06AM","37"
"Bruno Fernandes","MUN","M","mg","Reserve","Active","Tue May 7, 2024, 8:06AM","37"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Active","Reserve","Tue May 7, 2024, 8:05AM","37"
"Emerson Royal","TOT","D","mg","Reserve","Active","Tue May 7, 2024, 8:05AM","37"
"Malo Gusto","CHE","D","vu","Reserve","Active","Mon May 6, 2024, 4:02PM","37"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Mon May 6, 2024, 4:02PM","37"
"Bruno Fernandes","MUN","M","mg","Active","Reserve","Mon May 6, 2024, 3:56PM","36"
"Callum Hudson-Odoi","CHE/NOT","F","mg","Reserve","Active","Mon May 6, 2024, 3:56PM","36"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Mon May 6, 2024, 3:56PM","36"
"Luke Shaw","MUN","D","tj","Active","Reserve","Mon May 6, 2024, 3:56PM","36"
"Ben Godfrey","EVE","D","tj","Active","Reserve","Mon May 6, 2024, 3:35PM","37"
"Daniel Munoz","CRY","D","tj","Reserve","Active","Mon May 6, 2024, 3:35PM","37"
"Idrissa Gueye","EVE","M","mg","Reserve","Active","Mon May 6, 2024, 2:18PM","37"
"Alex Iwobi","EVE/FUL","M","mg","Active","Reserve","Mon May 6, 2024, 2:18PM","37"
"Luke Shaw","MUN","D","tj","Reserve","Active","Mon May 6, 2024, 11:09AM","36"
"Daniel Munoz","CRY","D","tj","Active","Reserve","Mon May 6, 2024, 11:09AM","36"
"Abdoulaye Doucoure","EVE","M","sean","Active","Reserve","Sun May 5, 2024, 4:26PM","37"
"Tomas Soucek","WHU","M","sean","Reserve","Active","Sun May 5, 2024, 4:26PM","37"
"Morgan Rogers","MCI/AVL","F","sean","Active","Reserve","Sun May 5, 2024, 4:26PM","37"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Sun May 5, 2024, 4:26PM","37"
"Micky van de Ven","TOT","D","sean","Reserve","Active","Sun May 5, 2024, 4:26PM","37"
"Kristoffer Ajer","BRF","D","sean","Active","Reserve","Sun May 5, 2024, 4:26PM","37"
"Valentino Livramento","NEW","D","vu","Reserve","Active","Sun May 5, 2024, 4:10PM","38"
"Marcos Senesi","BOU","D","vu","Active","Reserve","Sun May 5, 2024, 4:10PM","38"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Sun May 5, 2024, 4:10PM","38"
"Malo Gusto","CHE","D","vu","Reserve","Active","Sun May 5, 2024, 4:10PM","38"
"Harry Maguire","MUN","D","mg","Reserve","Active","Sun May 5, 2024, 10:47AM","36"
"Adam Wharton","CRY","M","mg","Active","Reserve","Sun May 5, 2024, 10:47AM","36"
"Rasmus Hojlund","MUN","F","tj","Reserve","Active","Sun May 5, 2024, 7:37AM","36"
"Dominik Szoboszlai","LIV","M","tj","Active","Reserve","Sun May 5, 2024, 7:37AM","36"
"Giovani Lo Celso","TOT","M","vu","Active","Reserve","Sun May 5, 2024, 7:35AM","36"
"Brennan Johnson","NOT/TOT","F","vu","Reserve","Active","Sun May 5, 2024, 7:35AM","36"
"Emerson Royal","TOT","D","mg","Active","Reserve","Sun May 5, 2024, 7:31AM","36"
"Virgil van Dijk","LIV","D","mg","Reserve","Active","Sun May 5, 2024, 7:31AM","36"
"Virgil van Dijk","LIV","D","mg","Active","Reserve","Sun May 5, 2024, 7:31AM","36"
"Emerson Royal","TOT","D","mg","Reserve","Active","Sun May 5, 2024, 7:31AM","36"
