"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Kyle Walker","MCI","D","mg","Reserve","Active","Tue Apr 2, 2024, 7:23AM","31"
"Diogo Jota","LIV","F","mg","Active","Reserve","Tue Apr 2, 2024, 7:23AM","31"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Active","Reserve","Tue Apr 2, 2024, 7:22AM","31"
"Tyler Adams","LEE/BOU","M","mg","Reserve","Active","Tue Apr 2, 2024, 7:22AM","31"
"Konstantinos Tsimikas","LIV","D","vu","Reserve","Active","Tue Apr 2, 2024, 7:14AM","31"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Tue Apr 2, 2024, 7:14AM","31"
"Jeremy Doku","MCI","F","tj","Active","Reserve","Tue Apr 2, 2024, 7:12AM","31"
"Harvey Barnes","NEW","M","tj","Reserve","Active","Tue Apr 2, 2024, 7:12AM","31"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Tue Apr 2, 2024, 7:01AM","31"
"Joao Gomes","WOL","M","tj","Active","Reserve","Tue Apr 2, 2024, 7:01AM","31"
"Nathan Ake","MCI","D","sean","Reserve","Inj Res","Mon Apr 1, 2024, 10:45PM","31"
"Alisson","LIV","G","sean","Inj Res","Reserve","Mon Apr 1, 2024, 10:45PM","31"
"Harry Toffolo","NOT","D","rafa","Active","Reserve","Mon Apr 1, 2024, 8:47PM","31"
"John Stones","MCI","D","rafa","Reserve","Active","Mon Apr 1, 2024, 8:47PM","31"
"Wilson Odobert","BUR","F","sean","Active","Reserve","Mon Apr 1, 2024, 6:19PM","31"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Mon Apr 1, 2024, 6:19PM","31"
"Gabriel Martinelli","ARS","M","katabe","Inj Res","Active","Mon Apr 1, 2024, 12:25PM","31"
"Ben Chilwell","CHE","D","vu","Reserve","Active","Mon Apr 1, 2024, 8:36AM","31"
"Timothy Castagne","LEI/FUL","D","vu","Active","Reserve","Mon Apr 1, 2024, 8:34AM","31"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Mon Apr 1, 2024, 8:34AM","31"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Mon Apr 1, 2024, 8:34AM","31"
"Callum Hudson-Odoi","CHE/NOT","F","vu","Active","Reserve","Mon Apr 1, 2024, 8:15AM","31"
"Ben White","ARS","D","vu","Reserve","Active","Mon Apr 1, 2024, 8:15AM","31"
"Abdoulaye Doucoure","EVE","M","sean","Active","Reserve","Sun Mar 31, 2024, 12:34PM","31"
"Andrew Robertson","LIV","D","sean","Reserve","Active","Sun Mar 31, 2024, 12:34PM","31"
"Nelson Semedo","WOL","D","sean","Reserve","Active","Sun Mar 31, 2024, 12:34PM","31"
"Nathan Ake","MCI","D","sean","Active","Reserve","Sun Mar 31, 2024, 12:34PM","31"
"Enzo Fernandez","CHE","M","mg","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Joao Pedro","BHA","F","mg","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Ross Barkley","CHE/LUT","M","sean","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Ryan Christie","BOU","M","sean","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Wilson Odobert","BUR","F","sean","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Julian Alvarez","MCI","F","sean","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Mohamed Elneny","ARS","M","katabe","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Chris Richards","CRY","D","katabe","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Pau Torres","AVL","D","zach","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Oleksandr Zinchenko","ARS","D","zach","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Joao Gomes","WOL","M","tj","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"David Datro Fofana","CHE/BUR","F","tj","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Jeremy Doku","MCI","F","tj","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Trent Alexander-Arnold","LIV","D","rafa","Active","Reserve","Sun Mar 31, 2024, 12:24PM","30"
"Harry Toffolo","NOT","D","rafa","Reserve","Active","Sun Mar 31, 2024, 12:24PM","30"
"Calvin Bassey","FUL","D","mg","Active","Reserve","Sun Mar 31, 2024, 10:26AM","31"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Active","Sun Mar 31, 2024, 10:26AM","31"
"Diogo Jota","LIV","F","mg","Inj Res","Active","Sun Mar 31, 2024, 10:26AM","31"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Inj Res","Sun Mar 31, 2024, 10:26AM","31"
"Joao Pedro","BHA","F","mg","Active","Reserve","Sun Mar 31, 2024, 10:26AM","31"
"Joseph Gomez","LIV","D","mg","Active","Reserve","Sun Mar 31, 2024, 10:26AM","31"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Sun Mar 31, 2024, 10:26AM","31"
"John Stones","MCI","D","rafa","Active","Reserve","Sun Mar 31, 2024, 7:48AM","30"
"Kai Havertz","ARS","F","rafa","Reserve","Active","Sun Mar 31, 2024, 7:48AM","30"
"Jakub Kiwior","ARS","D","sean","Reserve","Active","Sun Mar 31, 2024, 5:36AM","30"
"Konstantinos Tsimikas","LIV","D","sean","Active","Reserve","Sun Mar 31, 2024, 5:36AM","30"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Sun Mar 31, 2024, 5:12AM","30"
"Joseph Gomez","LIV","D","mg","Reserve","Active","Sun Mar 31, 2024, 5:12AM","30"
"Diogo Jota","LIV","F","mg","Active","Inj Res","Sat Mar 30, 2024, 12:16PM","30"
"Joao Pedro","BHA","F","mg","Inj Res","Active","Sat Mar 30, 2024, 12:16PM","30"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Reserve","Active","Sat Mar 30, 2024, 12:01PM","30"
"Harry Maguire","MUN","D","mg","Active","Reserve","Sat Mar 30, 2024, 12:01PM","30"
"Harry Maguire","MUN","D","mg","Reserve","Active","Sat Mar 30, 2024, 12:01PM","30"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Active","Reserve","Sat Mar 30, 2024, 12:01PM","30"
"Mathias Jensen","BRF","M","vu","Reserve","Active","Sat Mar 30, 2024, 7:24AM","30"
"Christopher Nkunku","CHE","F","vu","Active","Reserve","Sat Mar 30, 2024, 7:24AM","30"
"Darwin Nunez","LIV","F","md","Active","Reserve","Sat Mar 30, 2024, 7:14AM","30"
"João Palhinha","FUL","M","md","Reserve","Active","Sat Mar 30, 2024, 7:14AM","30"
"Josko Gvardiol","MCI","D","md","Reserve","Active","Sat Mar 30, 2024, 7:13AM","30"
"Thiago Silva","CHE","D","md","Active","Reserve","Sat Mar 30, 2024, 7:13AM","30"
"Sasa Lukic","FUL","M","katabe","Reserve","Active","Sat Mar 30, 2024, 7:07AM","30"
"Mario Lemina","WOL","M","katabe","Active","Reserve","Sat Mar 30, 2024, 7:07AM","30"
"Joao Pedro","BHA","F","mg","Reserve","Inj Res","Sat Mar 30, 2024, 12:15AM","30"
"Harry Maguire","MUN","D","mg","Inj Res","Reserve","Sat Mar 30, 2024, 12:15AM","30"
"Gabriel Martinelli","ARS","M","katabe","Reserve","Inj Res","Sat Mar 30, 2024, 12:11AM","30"
"Gabriel Jesus","ARS","F","ben","Reserve","Active","Fri Mar 29, 2024, 8:39PM","30"
"Julio Enciso","BHA","F","ben","Active","Reserve","Fri Mar 29, 2024, 8:39PM","30"
"Julio Enciso","BHA","F","ben","Reserve","Active","Fri Mar 29, 2024, 8:38PM","30"
"Lewis Cook","BOU","M","ben","Reserve","Active","Fri Mar 29, 2024, 8:38PM","30"
"Harvey Elliott","LIV","M","ben","Active","Reserve","Fri Mar 29, 2024, 8:38PM","30"
"Gabriel Jesus","ARS","F","ben","Active","Reserve","Fri Mar 29, 2024, 8:38PM","30"
"Aaron Wan-Bissaka","MUN","D","ben","Reserve","Active","Fri Mar 29, 2024, 8:37PM","30"
"Jarrad Branthwaite","EVE","D","ben","Active","Reserve","Fri Mar 29, 2024, 8:37PM","30"
"Matty Cash","AVL","D","ben","Reserve","Inj Res","Fri Mar 29, 2024, 8:28PM","30"
"Julio Enciso","BHA","F","ben","Active","Reserve","Fri Mar 29, 2024, 8:17PM","30"
"Willian","FUL","F","ben","Reserve","Active","Fri Mar 29, 2024, 8:17PM","30"
"Marcos Senesi","BOU","D","tj","Reserve","Active","Fri Mar 29, 2024, 6:58PM","30"
"Marcus Tavernier","BOU","M","tj","Active","Reserve","Fri Mar 29, 2024, 6:58PM","30"
"Marcus Tavernier","BOU","M","tj","Reserve","Active","Fri Mar 29, 2024, 6:58PM","30"
"Marcos Senesi","BOU","D","tj","Inj Res","Reserve","Fri Mar 29, 2024, 6:58PM","30"
"Michael Olise","CRY","M","tj","Active","Inj Res","Fri Mar 29, 2024, 6:58PM","30"
"Marcos Senesi","BOU","D","tj","Active","Inj Res","Fri Mar 29, 2024, 6:57PM","30"
"Ethan Pinnock","BRF","D","tj","Inj Res","Active","Fri Mar 29, 2024, 6:57PM","30"
"Andrew Robertson","LIV","D","sean","Active","Reserve","Fri Mar 29, 2024, 7:27AM","30"
"Konstantinos Tsimikas","LIV","D","sean","Reserve","Active","Fri Mar 29, 2024, 7:27AM","30"
"Joseph Gomez","LIV","D","mg","Active","Reserve","Thu Mar 28, 2024, 3:09PM","30"
"Diogo Jota","LIV","F","mg","Reserve","Active","Thu Mar 28, 2024, 3:09PM","30"
"Joseph Gomez","LIV","D","mg","Reserve","Active","Thu Mar 28, 2024, 3:09PM","30"
"Diogo Jota","LIV","F","mg","Inj Res","Reserve","Thu Mar 28, 2024, 3:09PM","30"
"Harry Maguire","MUN","D","mg","Active","Inj Res","Thu Mar 28, 2024, 3:09PM","30"
"Julio Enciso","BHA","F","ben","Reserve","Active","Thu Mar 28, 2024, 1:08AM","30"
"Timo Werner","CHE/TOT","F","ben","Active","Reserve","Thu Mar 28, 2024, 1:08AM","30"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Wed Mar 27, 2024, 5:18PM","30"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Wed Mar 27, 2024, 5:18PM","30"
"Diogo Jota","LIV","F","mg","Reserve","Inj Res","Wed Mar 27, 2024, 5:18PM","30"
"Ibrahima Konate","LIV","D","mg","Inj Res","Reserve","Wed Mar 27, 2024, 5:18PM","30"
"Matheus Cunha","WOL","F","rafa","Inj Res","Reserve","Tue Mar 26, 2024, 8:35PM","30"
"Harry Toffolo","NOT","D","rafa","Active","Reserve","Tue Mar 26, 2024, 8:23PM","30"
"Anthony Gordon","NEW","M","rafa","Reserve","Active","Tue Mar 26, 2024, 8:23PM","30"
"Kai Havertz","ARS","F","rafa","Active","Reserve","Tue Mar 26, 2024, 8:21PM","30"
"Trent Alexander-Arnold","LIV","D","rafa","Reserve","Active","Tue Mar 26, 2024, 8:21PM","30"
"Matheus Cunha","WOL","F","rafa","Reserve","Inj Res","Tue Mar 26, 2024, 8:20PM","30"
"Trent Alexander-Arnold","LIV","D","rafa","Inj Res","Reserve","Tue Mar 26, 2024, 8:20PM","30"
"Ibrahima Konate","LIV","D","mg","Active","Inj Res","Tue Mar 26, 2024, 4:10PM","30"
"Joao Pedro","BHA","F","mg","Inj Res","Reserve","Tue Mar 26, 2024, 4:10PM","30"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Tue Mar 26, 2024, 4:10PM","30"
"Max Kilman","WOL","D","aj","Reserve","Active","Sun Mar 24, 2024, 12:35PM","30"
"Anthony Elanga","NOT","F","aj","Active","Reserve","Sun Mar 24, 2024, 12:35PM","30"
"Pascal Gross","BHA","M","aj","Reserve","Active","Sun Mar 24, 2024, 12:34PM","30"
"Pape Sarr","TOT","M","aj","Active","Reserve","Sun Mar 24, 2024, 12:34PM","30"
"Nelson Semedo","WOL","D","sean","Active","Reserve","Sat Mar 23, 2024, 1:31PM","30"
"Kyle Walker","MCI","D","sean","Reserve","Active","Sat Mar 23, 2024, 1:31PM","30"
"Joao Pedro","BHA","F","mg","Reserve","Inj Res","Sat Mar 23, 2024, 8:16AM","30"
"Diogo Jota","LIV","F","mg","Inj Res","Reserve","Sat Mar 23, 2024, 8:16AM","30"
"Pau Torres","AVL","D","zach","Active","Reserve","Fri Mar 22, 2024, 5:57PM","30"
"Oleksandr Zinchenko","ARS","D","zach","Reserve","Active","Fri Mar 22, 2024, 5:57PM","30"
"Harry Maguire","MUN","D","mg","Reserve","Active","Wed Mar 20, 2024, 7:56PM","30"
"Jamaal Lascelles","NEW","D","mg","Active","Reserve","Wed Mar 20, 2024, 7:56PM","30"
"Nicolas Jackson","CHE","F","katabe","Reserve","Active","Tue Mar 19, 2024, 1:31PM","30"
"Leandro Trossard","ARS","M","katabe","Reserve","Active","Tue Mar 19, 2024, 1:31PM","30"
"Mathias Jensen","BRF","M","vu","Active","Reserve","Tue Mar 19, 2024, 7:23AM","30"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Active","Tue Mar 19, 2024, 7:23AM","30"
"John McGinn","AVL","M","mg","Reserve","Active","Tue Mar 19, 2024, 7:20AM","30"
"Harry Maguire","MUN","D","mg","Active","Reserve","Tue Mar 19, 2024, 7:20AM","30"
"Enzo Fernandez","CHE","M","mg","Active","Reserve","Tue Mar 19, 2024, 7:20AM","30"
"Calvin Bassey","FUL","D","mg","Reserve","Active","Tue Mar 19, 2024, 7:20AM","30"
"Marcus Tavernier","BOU","M","tj","Active","Reserve","Mon Mar 18, 2024, 11:25PM","30"
"Michael Olise","CRY","M","tj","Reserve","Active","Mon Mar 18, 2024, 11:25PM","30"
"Ethan Pinnock","BRF","D","tj","Active","Inj Res","Mon Mar 18, 2024, 11:24PM","30"
"David Datro Fofana","CHE/BUR","F","tj","Reserve","Active","Mon Mar 18, 2024, 11:24PM","30"
"Rasmus Hojlund","MUN","F","tj","Active","Reserve","Mon Mar 18, 2024, 11:24PM","30"
"Michael Olise","CRY","M","tj","Inj Res","Reserve","Mon Mar 18, 2024, 11:24PM","30"
"Marcos Senesi","BOU","D","tj","Reserve","Active","Mon Mar 18, 2024, 11:24PM","30"
"Willian","FUL","F","ben","Active","Reserve","Mon Mar 18, 2024, 8:26AM","30"
"Jarrad Branthwaite","EVE","D","ben","Reserve","Active","Mon Mar 18, 2024, 8:26AM","30"
"Gabriel Jesus","ARS","F","ben","Reserve","Active","Mon Mar 18, 2024, 8:26AM","30"
"Jack Harrison","LEE/EVE","M","ben","Reserve","Active","Mon Mar 18, 2024, 8:26AM","30"
"Matty Cash","AVL","D","ben","Active","Reserve","Mon Mar 18, 2024, 8:26AM","30"
"Rodrigo Bentancur","TOT","M","aj","Active","Reserve","Sun Mar 17, 2024, 6:16PM","30"
"Kevin De Bruyne","MCI","M","aj","Reserve","Active","Sun Mar 17, 2024, 6:16PM","30"
"Brennan Johnson","NOT/TOT","F","vu","Reserve","Active","Sun Mar 17, 2024, 3:12PM","30"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Sun Mar 17, 2024, 3:12PM","30"
"Brennan Johnson","NOT/TOT","F","vu","Active","Reserve","Sun Mar 17, 2024, 2:58PM","30"
"Mathias Jensen","BRF","M","vu","Reserve","Active","Sun Mar 17, 2024, 2:58PM","30"
"Willy Boly","NOT","D","vu","Active","Reserve","Sun Mar 17, 2024, 2:58PM","30"
"Kieran Tierney","ARS","D","vu","Reserve","Active","Sun Mar 17, 2024, 2:58PM","30"
"Jordan Pickford","EVE","G","katabe","Reserve","Active","Sun Mar 17, 2024, 12:43PM","30"
"Oleksandr Zinchenko","ARS","D","zach","Active","Reserve","Sun Mar 17, 2024, 11:03AM","29"
"Pau Torres","AVL","D","zach","Reserve","Active","Sun Mar 17, 2024, 11:03AM","29"
"Yoane Wissa","BRF","F","zach","Reserve","Active","Sun Mar 17, 2024, 11:03AM","29"
"Alexander Isak","NEW","F","zach","Active","Reserve","Sun Mar 17, 2024, 11:03AM","29"
"Willy Boly","NOT","D","vu","Reserve","Active","Sun Mar 17, 2024, 9:59AM","30"
"Kieran Tierney","ARS","D","vu","Active","Reserve","Sun Mar 17, 2024, 9:59AM","30"
"Abdoulaye Doucoure","EVE","M","sean","Reserve","Active","Sun Mar 17, 2024, 9:52AM","30"
"Ross Barkley","CHE/LUT","M","sean","Active","Reserve","Sun Mar 17, 2024, 9:52AM","30"
"Enzo Fernandez","CHE","M","mg","Reserve","Active","Sun Mar 17, 2024, 9:30AM","30"
"Harry Maguire","MUN","D","mg","Reserve","Active","Sun Mar 17, 2024, 9:29AM","30"
"Willy Boly","NOT","D","vu","Active","Reserve","Sun Mar 17, 2024, 9:25AM","30"
"Kristoffer Ajer","BRF","D","vu","Reserve","Active","Sun Mar 17, 2024, 9:24AM","30"
"Ben Chilwell","CHE","D","vu","Active","Reserve","Sun Mar 17, 2024, 9:24AM","30"
"Kristoffer Ajer","BRF","D","vu","Active","Reserve","Sun Mar 17, 2024, 9:23AM","30"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Sun Mar 17, 2024, 9:23AM","30"
"Reece James","CHE","D","vu","Active","Inj Res","Sun Mar 17, 2024, 9:22AM","30"
"Christopher Nkunku","CHE","F","vu","Inj Res","Reserve","Sun Mar 17, 2024, 9:22AM","30"
"Kristoffer Ajer","BRF","D","vu","Reserve","Active","Sun Mar 17, 2024, 9:22AM","30"
"Alex Moreno","AVL","D","sean","Active","Reserve","Sun Mar 17, 2024, 8:49AM","30"
"Nelson Semedo","WOL","D","sean","Reserve","Active","Sun Mar 17, 2024, 8:49AM","30"
"Tyrick Mitchell","CRY","D","sean","Reserve","Active","Sun Mar 17, 2024, 8:49AM","30"
"Jakub Kiwior","ARS","D","sean","Active","Reserve","Sun Mar 17, 2024, 8:49AM","30"
"Jakub Kiwior","ARS","D","sean","Reserve","Active","Sun Mar 17, 2024, 8:47AM","30"
"Chiedozie Ogbene","LUT","F","mg","Active","Reserve","Sun Mar 17, 2024, 8:06AM","30"
"Ederson","MCI","G","md","Active","Reserve","Sun Mar 17, 2024, 6:39AM","29"
"Neto","BOU","G","md","Reserve","Active","Sun Mar 17, 2024, 6:39AM","29"
"Pablo Sarabia","WOL","M","vu","Reserve","Active","Sat Mar 16, 2024, 7:55PM","30"
"Youri Tielemans","AVL","M","vu","Active","Reserve","Sat Mar 16, 2024, 7:55PM","30"
"Mathias Jensen","BRF","M","vu","Active","Reserve","Sat Mar 16, 2024, 7:55PM","30"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Sat Mar 16, 2024, 7:55PM","30"
"Harry Maguire","MUN","D","mg","Inj Res","Reserve","Sat Mar 16, 2024, 7:54PM","30"
"Diogo Jota","LIV","F","mg","Reserve","Inj Res","Sat Mar 16, 2024, 7:54PM","30"
"Kristoffer Ajer","BRF","D","vu","Active","Reserve","Sat Mar 16, 2024, 7:54PM","30"
"Malo Gusto","CHE","D","vu","Reserve","Active","Sat Mar 16, 2024, 7:54PM","30"
"Cole Palmer","MCI/CHE","M","vu","Reserve","Active","Sat Mar 16, 2024, 7:54PM","30"
"James Ward-Prowse","SOU/WHU","M","vu","Active","Reserve","Sat Mar 16, 2024, 7:54PM","30"
"Harry Maguire","MUN","D","mg","Reserve","Inj Res","Sat Mar 16, 2024, 1:47PM","30"
"Diogo Jota","LIV","F","mg","Inj Res","Reserve","Sat Mar 16, 2024, 12:10PM","30"
"Dominic Solanke","BOU","F","mg","Reserve","Active","Sat Mar 16, 2024, 12:10PM","30"
"Eberechi Eze","CRY","M","mg","Reserve","Active","Sat Mar 16, 2024, 12:10PM","30"
"Martin Odegaard","ARS","M","mg","Reserve","Active","Sat Mar 16, 2024, 12:10PM","30"
"Ibrahima Konate","LIV","D","mg","Inj Res","Active","Sat Mar 16, 2024, 12:02PM","29"
"Diogo Jota","LIV","F","mg","Active","Inj Res","Sat Mar 16, 2024, 12:02PM","29"
"Kieran Trippier","NEW","D","tj","Active","Reserve","Sat Mar 16, 2024, 11:25AM","30"
"Yves Bissouma","TOT","M","sean","Active","Reserve","Sat Mar 16, 2024, 10:34AM","30"
"Andrew Robertson","LIV","D","sean","Reserve","Active","Sat Mar 16, 2024, 10:34AM","30"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Sat Mar 16, 2024, 10:34AM","30"
"Mohamed Salah","LIV","F","sean","Reserve","Active","Sat Mar 16, 2024, 10:34AM","30"
"Wilson Odobert","BUR","F","sean","Active","Reserve","Sat Mar 16, 2024, 10:34AM","30"
"Zanka","BRF","D","sean","Active","Reserve","Sat Mar 16, 2024, 10:34AM","30"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Sat Mar 16, 2024, 7:49AM","29"
"Harry Maguire","MUN","D","mg","Active","Reserve","Sat Mar 16, 2024, 7:49AM","29"
"Eberechi Eze","CRY","M","mg","Active","Reserve","Sat Mar 16, 2024, 7:49AM","29"
"Frank Onyeka","BRF","M","mg","Reserve","Active","Sat Mar 16, 2024, 7:49AM","29"
"Nathan Collins","BRF","D","mg","Reserve","Active","Sat Mar 16, 2024, 7:49AM","29"
"Mads Roerslev","BRF","D","mg","Reserve","Active","Sat Mar 16, 2024, 7:49AM","29"
"Harry Wilson","FUL","M","sean","Reserve","Active","Sat Mar 16, 2024, 7:04AM","29"
"Christian Norgaard","BRF","M","sean","Active","Reserve","Sat Mar 16, 2024, 7:04AM","29"
"Zanka","BRF","D","sean","Reserve","Active","Sat Mar 16, 2024, 7:02AM","29"
"Jakub Kiwior","ARS","D","sean","Active","Reserve","Sat Mar 16, 2024, 7:02AM","29"
"Emerson","WHU","D","ben","Reserve","Active","Sat Mar 16, 2024, 6:13AM","29"
"Jarrad Branthwaite","EVE","D","ben","Active","Reserve","Sat Mar 16, 2024, 6:13AM","29"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Fri Mar 15, 2024, 2:03PM","30"
"Aaron Cresswell","WHU","D","tj","Active","Reserve","Fri Mar 15, 2024, 2:03PM","30"
"Neco Williams","NOT","D","tj","Active","Reserve","Fri Mar 15, 2024, 2:03PM","30"
"Dominik Szoboszlai","LIV","M","tj","Reserve","Active","Fri Mar 15, 2024, 2:03PM","30"
"Marcus Tavernier","BOU","M","tj","Reserve","Active","Fri Mar 15, 2024, 2:03PM","30"
"Josh Brownhill","BUR","M","tj","Active","Reserve","Fri Mar 15, 2024, 2:03PM","30"
"Neco Williams","NOT","D","tj","Reserve","Active","Fri Mar 15, 2024, 9:55AM","29"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Fri Mar 15, 2024, 9:55AM","29"
"Ben White","ARS","D","vu","Active","Reserve","Thu Mar 14, 2024, 3:18PM","29"
"Ben Chilwell","CHE","D","vu","Reserve","Active","Thu Mar 14, 2024, 3:18PM","29"
"Luke Shaw","MUN","D","mg","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Tahith Chong","LUT","M","mg","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Harry Maguire","MUN","D","mg","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Ben Chilwell","CHE","D","vu","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Ben White","ARS","D","vu","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Romeo Lavia","SOU/CHE","M","vu","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Facundo Buonanotte","BHA","M","sean","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Dominik Szoboszlai","LIV","M","tj","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Michael Olise","CRY","M","tj","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Harvey Elliott","LIV","M","ben","Reserve","Active","Wed Mar 13, 2024, 4:29PM","28"
"Emerson","WHU","D","ben","Active","Reserve","Wed Mar 13, 2024, 4:29PM","28"
"Willian","FUL","F","ben","Reserve","Active","Wed Mar 13, 2024, 2:40PM","29"
"Gabriel Jesus","ARS","F","ben","Active","Reserve","Wed Mar 13, 2024, 2:40PM","29"
"Willian","FUL","F","ben","Inj Res","Reserve","Wed Mar 13, 2024, 2:40PM","29"
"Jordan Pickford","EVE","G","katabe","Active","Reserve","Wed Mar 13, 2024, 2:38PM","29"
"Matz Sels","NEW/NOT","G","katabe","Reserve","Active","Wed Mar 13, 2024, 2:38PM","29"
"Matty Cash","AVL","D","ben","Reserve","Active","Wed Mar 13, 2024, 2:31PM","29"
"William Saliba","ARS","D","ben","Active","Reserve","Wed Mar 13, 2024, 2:31PM","29"
"Leandro Trossard","ARS","M","katabe","Active","Reserve","Wed Mar 13, 2024, 2:25PM","29"
"Ollie Watkins","AVL","F","katabe","Reserve","Active","Wed Mar 13, 2024, 2:25PM","29"
"Divock Origi","LIV/NOT","F","katabe","Reserve","Active","Wed Mar 13, 2024, 2:24PM","29"
"Ollie Watkins","AVL","F","katabe","Active","Reserve","Wed Mar 13, 2024, 2:24PM","29"
"John McGinn","AVL","M","katabe","Active","Reserve","Wed Mar 13, 2024, 2:22PM","29"
"Issa Kabore","LUT","D","katabe","Reserve","Active","Wed Mar 13, 2024, 2:21PM","29"
"Nicolas Jackson","CHE","F","katabe","Active","Reserve","Wed Mar 13, 2024, 2:06PM","29"
"Keane Lewis-Potter","BRF","F","katabe","Reserve","Active","Wed Mar 13, 2024, 2:06PM","29"
"Jordan Pickford","EVE","G","katabe","Reserve","Active","Wed Mar 13, 2024, 2:05PM","29"
"Mario Lemina","WOL","M","katabe","Active","Reserve","Wed Mar 13, 2024, 1:59PM","29"
"Sander Berge","BUR","M","katabe","Reserve","Active","Wed Mar 13, 2024, 1:59PM","29"
"Pedro Porro","TOT","D","katabe","Reserve","Active","Wed Mar 13, 2024, 1:52PM","29"
"Anthony Gordon","NEW","M","rafa","Active","Reserve","Tue Mar 12, 2024, 9:27AM","29"
"Harry Toffolo","NOT","D","rafa","Reserve","Active","Tue Mar 12, 2024, 9:27AM","29"
"Marcus Tavernier","BOU","M","tj","Active","Reserve","Tue Mar 12, 2024, 7:17AM","29"
"Kieran Trippier","NEW","D","tj","Reserve","Active","Tue Mar 12, 2024, 7:17AM","29"
"Kieran Trippier","NEW","D","tj","Inj Res","Reserve","Tue Mar 12, 2024, 7:17AM","29"
"Michael Olise","CRY","M","tj","Reserve","Inj Res","Tue Mar 12, 2024, 7:17AM","29"
"Eberechi Eze","CRY","M","mg","Reserve","Active","Tue Mar 12, 2024, 7:17AM","29"
"Frank Onyeka","BRF","M","mg","Active","Reserve","Tue Mar 12, 2024, 7:17AM","29"
"Nathan Collins","BRF","D","mg","Active","Reserve","Tue Mar 12, 2024, 7:17AM","29"
"Mads Roerslev","BRF","D","mg","Active","Reserve","Tue Mar 12, 2024, 7:17AM","29"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Tue Mar 12, 2024, 7:17AM","29"
"Virgil van Dijk","LIV","D","mg","Reserve","Active","Tue Mar 12, 2024, 7:17AM","29"
"Harry Wilson","FUL","M","sean","Active","Reserve","Tue Mar 12, 2024, 7:11AM","29"
