"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","A2","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*0522h*","M","Alexis Mac Allister","LIV","M","-","AVL Sat 1:00PM","33.5","8.38","4","240","0","4","1","1","3","1","0","0","0","3","2","0","0","4","0","0","0","2","1"
"*05uhs*","M","James Mcatee","NOT","M","-","MUN Sat 8:00AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*051k0*","M","John McGinn","AVL","M","-","@LIV Sat 1:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cms*","M","Sandro Tonali","NEW","M","-","@WHU Sun 6:00AM","16.5","8.25","2","155","0","2","0","0","2","0","0","0","0","2","2","0","0","1","0","0","0","2","1"
"*06fvn*","F","Beto","EVE","F","-","@SUN Mon 12:00PM","8","8","1","90","0","0","0","0","1","0","0","0","0","0","2","0","1","6","0","0","0","1","0"
"*049tq*","F","Dominic Calvert-Lewin","LEE","F","-","@BHA Sat 8:00AM","19.5","9.75","2","180","0","4","0","1","0","0","0","0","0","0","2","0","0","7","0","0","0","4","0"
"*04mi4*","F","Callum Hudson-Odoi","NOT","F","-","MUN Sat 8:00AM","37","12.33","3","249","1","5","0","3","1","2","0","0","2","1","1","2","0","0","0","0","0","4","0"
"*04ge7*","F","Donyell Malen","AVL","F","-","@LIV Sat 1:00PM","2","2","1","60","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0"
"*04io4*","F","Richarlison","TOT","F","-","CHE Sat 10:30AM","46","9.2","5","365","1","4","1","2","3","4","1","0","0","1","6","2","1","10","0","0","0","4","1"
"*06rm8*","F","Mathys Tel","TOT","F","-","CHE Sat 10:30AM","1.5","1.5","1","59","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"","Totals","","","","","","1036","11.51","90","7,091","11","80","14","30","79","78","12","0","31","52","187","69","14","126","0","0","1","93","26"

