"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*0687b*","D","Alex Moreno","AVL","D","-","AVL 0<br/>@CRY 5 F","93.75","15.62","6","536","2","8","0","3","6","4","0","0","3","8","19","9","1","0","0","0","1","8","2"
"*04kj7*","D","Serge Aurier","NOT","D","-","NOT 2<br/>@BUR 1 F","36.75","18.38","2","180","0","3","2","0","2","0","2","0","2","1","11","1","0","8","0","0","0","4","0"
"*06804*","D","Benoit Badiashile","CHE","D","-","BOU 1<br/>@CHE 2 F","23","11.5","2","180","0","0","0","0","2","0","1","0","0","3","12","0","2","3","0","0","0","2","1"
"*05uhj*","D","Conor Bradley","LIV","D","-","WOL 0<br/>@LIV 2 F","31.75","7.94","4","292","0","5","0","0","8","5","1","0","0","5","5","6","0","2","0","0","1","4","0"
"*05o4c*","D","Timothy Castagne","LEI/FUL","D","-","FUL 4<br/>@LUT 2 F","23.25","7.75","3","270","0","2","0","0","0","1","0","0","2","5","3","4","0","3","0","0","0","5","0"
"*03v6t*","D","Ben Chilwell","CHE","D","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m4d*","D","Craig Dawson","WOL","D","-","WOL 0<br/>@LIV 2 F","18.5","9.25","2","160","0","0","0","1","4","1","2","0","0","1","4","1","2","3","0","0","0","4","1"
"*04tm0*","D","Lucas Digne","AVL","D","-","AVL 0<br/>@CRY 5 F","229.75","13.51","17","1,469","0","25","3","3","11","12","4","0","20","19","31","4","0","28","0","0","0","18","5"
"*051ki*","D","Ben Godfrey","EVE","D","-","EVE 1<br/>@ARS 2 F","39.5","9.88","4","360","0","0","0","0","6","2","0","0","2","2","14","3","3","3","0","0","0","5","1"
"*03r93*","D","Joseph Gomez","LIV","D","-","WOL 0<br/>@LIV 2 F","80","16","5","428","0","5","1","0","8","4","0","0","3","3","8","5","1","7","0","0","0","3","3"
"*05y9n*","D","Lewis Hall","CHE/NEW","D","-","NEW 4<br/>@BRF 2 F","43","10.75","4","349","1","2","0","3","3","5","1","0","1","7","6","2","2","3","0","0","0","6","0"
"*051k7*","D","Reece James","CHE","D","-","BOU 1<br/>@CHE 2 F","27.75","6.94","4","249","0","5","0","0","5","4","0","1","3","2","3","5","2","5","0","0","0","5","0"
