"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*02y6o*","D","Nathan Ake","MCI","D","-","WHU 1<br/>@MCI 3 F","21","21","1","90","1","2","0","1","0","0","0","0","0","0","4","0","0","1","0","0","0","1","0"
"*06c4j*","D","Ameen Al Dakhil","BUR","D","-","NOT 2<br/>@BUR 1 F","10.5","5.25","2","180","0","0","0","1","0","1","0","0","0","0","8","0","0","3","0","0","0","3","0"
"*067x6*","D","Max Alleyne","MCI","D","-","WHU 1<br/>@MCI 3 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06804*","D","Benoit Badiashile","CHE","D","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04qr0*","D","Willy Boly","NOT","D","-","NOT 2<br/>@BUR 1 F","9.75","9.75","1","90","0","0","0","0","1","0","0","0","0","0","3","0","1","4","0","0","0","1","0"
"*062a9*","D","Sven Botman","NEW","D","-","NEW 4<br/>@BRF 2 F","-3.25","-3.25","1","72","0","0","0","0","0","0","0","0","0","0","7","0","1","1","0","0","1","4","0"
"*05uhj*","D","Conor Bradley","LIV","D","-","WOL 0<br/>@LIV 2 F","48.5","16.17","3","232","0","5","0","2","8","2","0","0","1","2","2","5","0","5","0","0","0","2","1"
"*03amm*","D","Reece Burke","LUT","D","-","FUL 4<br/>@LUT 2 F","21.25","10.62","2","180","0","0","0","0","3","0","1","0","0","3","9","0","6","7","0","0","0","5","0"
"*05o4c*","D","Timothy Castagne","LEI/FUL","D","-","FUL 4<br/>@LUT 2 F","34.25","11.42","3","225","0","2","1","1","1","0","0","0","1","2","1","2","0","3","0","0","0","4","1"
"*03v6t*","D","Ben Chilwell","CHE","D","-","BOU 1<br/>@CHE 2 F","77.5","9.69","8","537","0","12","1","2","9","4","4","0","4","3","10","6","3","9","0","0","0","11","1"
"*05u1m*","D","Nathan Collins","BRF","D","-","NEW 4<br/>@BRF 2 F","5.75","5.75","1","90","0","0","0","0","0","1","0","0","0","1","5","1","0","4","0","0","0","4","0"
"*02oo1*","D","Ben Davies","TOT","D","-","TOT 3<br/>@SHU 0 F","6.25","6.25","1","90","0","0","0","0","1","0","0","0","0","1","5","0","0","2","0","0","0","3","0"
"*02m4d*","D","Craig Dawson","WOL","D","-","WOL 0<br/>@LIV 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061v9*","D","Diego Carlos","AVL","D","-","AVL 0<br/>@CRY 5 F","14","14","1","90","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0","0","1"
"*05w9m*","D","Emerson Royal","TOT","D","-","TOT 3<br/>@SHU 0 F","25","12.5","2","180","0","2","0","0","6","2","0","0","1","9","8","1","0","1","0","0","0","5","0"
"*04mf8*","D","Nathan Ferguson","CRY","D","-","AVL 0<br/>@CRY 5 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05opl*","D","Wesley Fofana","CHE","D","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03r93*","D","Joseph Gomez","LIV","D","-","WOL 0<br/>@LIV 2 F","16.75","16.75","1","66","0","2","0","0","2","1","0","0","0","0","1","0","0","1","0","0","0","0","1"
"*06clz*","D","Malo Gusto","CHE","D","-","BOU 1<br/>@CHE 2 F","213.25","12.54","17","1,422","0","29","5","1","22","9","5","1","15","11","27","16","4","7","0","0","0","21","4"
"*05y9n*","D","Lewis Hall","CHE/NEW","D","-","NEW 4<br/>@BRF 2 F","11","11","1","45","0","0","0","1","4","0","0","0","0","1","0","1","0","2","0","0","0","0","0"
"*05tqz*","D","Rico Henry","BRF","D","-","NEW 4<br/>@BRF 2 F","23.25","7.75","3","221","0","2","0","0","4","4","0","0","1","2","1","3","3","3","0","0","0","3","0"
"*051k7*","D","Reece James","CHE","D","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mcg*","D","Ben Johnson","WHU","D","-","WHU 1<br/>@MCI 3 F","10","10","1","90","0","0","0","0","1","0","0","0","0","0","4","2","0","3","0","0","0","1","0"
"*05u7f*","D","Ibrahima Konate","LIV","D","-","WOL 0<br/>@LIV 2 F","9.5","9.5","1","90","0","0","0","0","2","0","0","0","0","0","2","2","0","2","0","0","0","1","0"
"*062x7*","D","Rico Lewis","MCI","D","-","WHU 1<br/>@MCI 3 F","10","10","1","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"*05s08*","D","Valentino Livramento","NEW","D","-","NEW 4<br/>@BRF 2 F","43.75","8.75","5","433","0","5","0","1","3","6","0","0","2","6","15","4","4","2","0","0","0","9","0"
"*052cb*","D","Ian Maatsen","CHE","D","-","BOU 1<br/>@CHE 2 F","0.5","0.5","1","8","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062ft*","D","Tyrell Malacia","MUN","D","-","MUN 2<br/>@BHA 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pl*","D","Lisandro Martinez","MUN","D","-","MUN 2<br/>@BHA 0 F","0.5","0.5","1","45","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0"
