#HEADER:Against zac,Against morfin,Against sean,Against aj,Against katabe,Against ben,Against matt,Against tj,Against rafa,Against vu
zac,None,3,4,2,2,2,3,1,2,2
morfin,1,None,1,0,2,1,2,0,0,1
sean,0,3,None,2,1,2,2,1,2,0
aj,2,4,2,None,1,1,2,1,4,0
katabe,2,2,3,3,None,3,2,2,1,0
ben,2,3,2,3,1,None,2,0,1,2
matt,1,2,2,2,2,2,None,2,2,1
tj,3,4,3,3,2,4,2,None,2,3
rafa,2,4,2,0,3,3,2,2,None,2
vu,2,3,4,4,4,2,3,1,2,None
