#HEADER:Manager Avg. Z-Score,Manager Med. Z-Score
zac,0.14,0.33
morfin,-0.6,-0.74
sean,-0.14,-0.26
aj,-0.41,-0.68
katabe,-0.13,-0.05
ben,-0.1,-0.02
matt,0.07,0.11
tj,0.54,0.47
rafa,-0.06,0.13
vu,0.69,0.72
